,base_name,date,datetime,developmental_stage,full_name,is_manual
66,15_09_24_O2_earlyL4_Ch1_24092015_155701,2015-09-24,15:57:01,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_09_24/15_09_24_O2_earlyL4_Ch1_24092015_155701_features.hdf5,False
68,L3_midL4_1.25_Ch1_22062016_173942,2016-06-22,17:39:42,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/16_06_22/L3_midL4_1.25_Ch1_22062016_173942_features.hdf5,False
69,Y3_L4_1.25_Ch1_22072016_110638,2016-07-22,11:06:38,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/16_07_22/Y3_L4_1.25_Ch1_22072016_110638_features.hdf5,False
70,Q4_L4_1.25_Ch1,2016-08-11,,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/16_08_11/Q4_L4_1.25_Ch1_features.hdf5,False
71,15_07_14_J_YA_Ch1_16072015_163436,2015-07-16,16:34:36,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/15_07_16/15_07_14_J_YA_Ch1_16072015_163436_features.hdf5,False
72,15_07_17_K_YA_Ch1_17072015_153302,2015-07-17,15:33:02,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/15_07_17/15_07_17_K_YA_Ch1_17072015_153302_features.hdf5,False
73,15_08_14_G2_YA_Ch1_14082015_084030,2015-08-14,08:40:30,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/15_08_14/15_08_14_G2_YA_Ch1_14082015_084030_features.hdf5,False
74,Y3_YA_1.0_Ch1_22072016_174649,2016-07-22,17:46:49,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/16_07_22/Y3_YA_1.0_Ch1_22072016_174649_features.hdf5,False
75,A4_YA_1.0_Ch1_27072016_112528,2016-07-27,11:25:28,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/16_07_27/A4_YA_1.0_Ch1_27072016_112528_features.hdf5,False
76,D4_YA_1.0_Ch1_29072016_120506,2016-07-29,12:05:06,New_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/New_Adult/16_07_29/D4_YA_1.0_Ch1_29072016_120506_features.hdf5,False
77,15_07_14_J_egglayer_Ch1_17072015_174859,2015-07-17,17:48:59,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_07_17/15_07_14_J_egglayer_Ch1_17072015_174859_features.hdf5,False
78,15_08_13_E2_EL_Ch1_13082015_111248,2015-08-13,11:12:48,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_08_13/15_08_13_E2_EL_Ch1_13082015_111248_features.hdf5,False
79,15_08_14_F2_EL_Ch1_14082015_151515,2015-08-14,15:15:15,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_08_14/15_08_14_F2_EL_Ch1_14082015_151515_features.hdf5,False
80,15_09_24_N2_EL_Ch1_24092015_135449,2015-09-24,13:54:49,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/15_09_24/15_09_24_N2_EL_Ch1_24092015_135449_features.hdf5,False
81,R3_ELA_1.0_Ch1_11072016_163900,2016-07-11,16:39:00,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_11/R3_ELA_1.0_Ch1_11072016_163900_features.hdf5,False
82,S3_ELA_1.0_Ch1_14072016_184723,2016-07-14,18:47:23,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_14/S3_ELA_1.0_Ch1_14072016_184723_features.hdf5,False
83,V3_ELA_1.0_Ch1_20072016_181906,2016-07-20,18:19:06,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_20/V3_ELA_1.0_Ch1_20072016_181906_features.hdf5,False
84,W3_ELA_1.0_Ch1_22072016_131149,2016-07-22,13:11:49,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_22/W3_ELA_1.0_Ch1_22072016_131149_features.hdf5,False
85,A4_ELA_1.0_Ch1_27072016_171632,2016-07-27,17:16:32,Old_Adult,/Users/ajaver/Desktop/Videos/pratheeban/Results/Old_Adult/16_07_27/A4_ELA_1.0_Ch1_27072016_171632_features.hdf5,False
