base_name,date,developmental_stage,file_name,is_manual,time
F4_L2_2.0_Ch1_29072016_144138,2016-07-29,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_07_29/F4_L2_2.0_Ch1_29072016_144138_features.hdf5,False,14:41:38
G4_L2_2.0_Ch1_02082016_162041,2016-08-02,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_08_02/G4_L2_2.0_Ch1_02082016_162041_features.hdf5,False,16:20:41
I4_L2_2.0_Ch1_03082016_103118,2016-08-03,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_08_03/I4_L2_2.0_Ch1_03082016_103118_features.hdf5,False,10:31:18
15_07_07_A1_earlyL3_Ch1_08072015_091412,2015-07-08,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_08/15_07_07_A1_earlyL3_Ch1_08072015_091412_features.hdf5,False,09:14:12
15_07_07_C_earlyL3_Ch1_08072015_135945,2015-07-08,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_08/15_07_07_C_earlyL3_Ch1_08072015_135945_features.hdf5,False,13:59:45
15_07_15_K_earlyL3_Ch1_16072015_142537,2015-07-16,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_16/15_07_15_K_earlyL3_Ch1_16072015_142537_features.hdf5,False,14:25:37
15_07_30_C2_earlyL3_Ch1_30072015_181335,2015-07-30,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_30/15_07_30_C2_earlyL3_Ch1_30072015_181335_features.hdf5,False,18:13:35
15_09_17_K2_earlyL3_Ch1_17092015_110514,2015-09-17,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_09_17/15_09_17_K2_earlyL3_Ch1_17092015_110514_features.hdf5,False,11:05:14
15_09_17_L2_earlyL3_Ch1_17092015_132702,2015-09-17,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_09_17/15_09_17_L2_earlyL3_Ch1_17092015_132702_features.hdf5,False,13:27:02
03_L3_1.6_Ch1_24062016_153519,2016-06-24,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_06_24/03_L3_1.6_Ch1_24062016_153519_feat_manual.hdf5,True,15:35:19
03_L3_1.6_Ch1_24062016_153519,2016-06-24,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_06_24/03_L3_1.6_Ch1_24062016_153519_features.hdf5,False,15:35:19
P3_L3_1.6_Ch1_08072016_085341,2016-07-08,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_08/P3_L3_1.6_Ch1_08072016_085341_features.hdf5,False,08:53:41
C4_L3_1.6_Ch1_28072016_123657,2016-07-28,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_28/C4_L3_1.6_Ch1_28072016_123657_features.hdf5,False,12:36:57
D4_L3_1.6_Ch1_28072016_145526,2016-07-28,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_28/D4_L3_1.6_Ch1_28072016_145526_features.hdf5,False,14:55:26
E4_L3_1.6_Ch1_29072016_174643,2016-07-29,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_07_29/E4_L3_1.6_Ch1_29072016_174643_features.hdf5,False,17:46:43
J4_L3_1.6_Ch1_04082016_110755,2016-08-04,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/16_08_04/J4_L3_1.6_Ch1_04082016_110755_features.hdf5,False,11:07:55
15_07_07_A_earlyL4_Ch1_08072015_161348,2015-07-08,L4,/Users/ajaver/Desktop/Videos/pratheeban/Results/L4/15_07_08/15_07_07_A_earlyL4_Ch1_08072015_161348_features.hdf5,False,16:13:48
